,title,adress,bewertung,latlang
0,REWE,"Neuendorfer Str. 76, Brandenburg an der Havel","4,3(1.320)","[52.408099, 12.5468399]"
1,REWE,"Tschirchdamm 8, Brandenburg an der Havel","4,1(1.055)","[52.4340316, 12.5233021]"
2,Lidl,"Friedrich-Franz-Straße 4, Brandenburg an der Havel","4,2(609)","[52.4138476, 12.5246426]"
3,EDEKA Höppner,"Werner-Seelenbinder-Straße 51, Brandenburg an der Havel","3,8(456)","[52.4222386, 12.550184]"
4,REWE,"Koenigsmarckstraße 18, Brandenburg an der Havel","4,2(689)","[52.4032812, 12.4117968]"
5,REWE Center,"Neuendorfer Str. 52, Brandenburg an der Havel","4,6(1.047)","[52.4064018, 12.53927975]"
6,EDEKA Höppner,"Gördenallee 204, Brandenburg an der Havel","4,2(704)","[52.42536185, 12.524747997718631]"
7,REWE,"Sankt-Annen-Straße 23, Brandenburg an der Havel","4,1(553)","[52.4079391, 12.5654865]"
8,Lidl,"Upstallstraße 22, Brandenburg an der Havel","4,3(847)","[52.4304133, 12.5333833]"
9,mein real,"Brielower Landstraße 29, Brandenburg an der Havel","4,0(1.496)","[52.4326436, 12.5470206]"
10,Netto - Günstig. Besser. Für dich.,"Karl-Marx-Straße 10, Brandenburg an der Havel","3,8(504)","[52.41549575, 12.538002573549683]"
11,REWE,"Veilchenweg 2, Brandenburg an der Havel","4,2(500)","[52.4261982, 12.5034861]"
12,Lidl,"Potsdamer Str. 23, Brandenburg an der Havel","4,2(827)","[52.4057738, 12.5715948]"
13,Netto Marken-Discount,"Magdeburger Landstraße 190, Brandenburg an der Havel","3,8(450)","[52.4137963, 12.5060044]"
15,Netto Marken-Discount,"Göttiner Str. 8, Brandenburg an der Havel","3,8(325)","[52.3953409, 12.5446696]"
16,Netto Marken-Discount,"Rosa-Luxemburg-Allee 4a, Brandenburg an der Havel","3,9(507)","[52.432000349999996, 12.529861996263804]"
17,ALDI Nord,"Geschwister-Scholl-Straße 30, Brandenburg an der Havel","4,0(776)","[52.4030051, 12.569036]"
18,Netto Marken-Discount,"Willi-Sänger-Straße 20, Brandenburg an der Havel","4,0(452)","[52.4186108, 12.5518858]"
19,NORMA,"Wilhelmsdorfer Str. 4-6, Brandenburg an der Havel","3,1(413)","[52.402105950000006, 12.551274547208498]"
20,PENNY,"Jacobstraße 2-3, Brandenburg an der Havel","4,1(566)","[52.4053288, 12.557123111535391]"
21,Netto - Günstig. Besser. Für dich.,"Gördenallee 206, Brandenburg an der Havel","3,9(375)","[52.4252, 12.5261119]"
22,Netto Marken-Discount,"Potsdamer Str. 16, Brandenburg an der Havel","3,9(420)","[52.4061972, 12.570632]"
